"Province_State","date","confirmed","deaths","pop_2015"
"Alabama",2020-01-22,0,0,4858979
"Alabama",2020-01-23,0,0,4858979
"Alabama",2020-01-24,0,0,4858979
"Alabama",2020-01-25,0,0,4858979
"Alabama",2020-01-26,0,0,4858979
"Alabama",2020-01-27,0,0,4858979
"Alabama",2020-01-28,0,0,4858979
"Alabama",2020-01-29,0,0,4858979
"Alabama",2020-01-30,0,0,4858979
"Alabama",2020-01-31,0,0,4858979
"Alabama",2020-02-01,0,0,4858979
"Alabama",2020-02-02,0,0,4858979
"Alabama",2020-02-03,0,0,4858979
"Alabama",2020-02-04,0,0,4858979
"Alabama",2020-02-05,0,0,4858979
"Alabama",2020-02-06,0,0,4858979
"Alabama",2020-02-07,0,0,4858979
"Alabama",2020-02-08,0,0,4858979
"Alabama",2020-02-09,0,0,4858979
"Alabama",2020-02-10,0,0,4858979
"Alabama",2020-02-11,0,0,4858979
"Alabama",2020-02-12,0,0,4858979
"Alabama",2020-02-13,0,0,4858979
"Alabama",2020-02-14,0,0,4858979
"Alabama",2020-02-15,0,0,4858979
"Alabama",2020-02-16,0,0,4858979
"Alabama",2020-02-17,0,0,4858979
"Alabama",2020-02-18,0,0,4858979
"Alabama",2020-02-19,0,0,4858979
"Alabama",2020-02-20,0,0,4858979
"Alabama",2020-02-21,0,0,4858979
"Alabama",2020-02-22,0,0,4858979
"Alabama",2020-02-23,0,0,4858979
"Alabama",2020-02-24,0,0,4858979
"Alabama",2020-02-25,0,0,4858979
"Alabama",2020-02-26,0,0,4858979
"Alabama",2020-02-27,0,0,4858979
"Alabama",2020-02-28,0,0,4858979
"Alabama",2020-02-29,0,0,4858979
"Alabama",2020-03-01,0,0,4858979
"Alabama",2020-03-02,0,0,4858979
"Alabama",2020-03-03,0,0,4858979
"Alabama",2020-03-04,0,0,4858979
"Alabama",2020-03-05,0,0,4858979
"Alabama",2020-03-06,0,0,4858979
"Alabama",2020-03-07,0,0,4858979
"Alabama",2020-03-08,0,0,4858979
"Alabama",2020-03-09,0,0,4858979
"Alabama",2020-03-10,0,0,4858979
"Alabama",2020-03-11,3,0,4858979
"Alabama",2020-03-12,4,0,4858979
"Alabama",2020-03-13,8,0,4858979
"Alabama",2020-03-14,15,0,4858979
"Alabama",2020-03-15,28,0,4858979
"Alabama",2020-03-16,36,0,4858979
"Alabama",2020-03-17,51,0,4858979
"Alabama",2020-03-18,61,0,4858979
"Alabama",2020-03-19,88,0,4858979
"Alabama",2020-03-20,115,0,4858979
"Alabama",2020-03-21,149,0,4858979
"Alabama",2020-03-22,180,0,4858979
"Alabama",2020-03-23,224,0,4858979
"Alabama",2020-03-24,298,0,4858979
"Alabama",2020-03-25,472,1,4858979
"Alabama",2020-03-26,574,1,4858979
"Alabama",2020-03-27,684,4,4858979
"Alabama",2020-03-28,801,4,4858979
"Alabama",2020-03-29,880,10,4858979
"Alabama",2020-03-30,1001,10,4858979
"Alabama",2020-03-31,1063,23,4858979
"Alabama",2020-04-01,1175,27,4858979
"Alabama",2020-04-02,1371,32,4858979
"Alabama",2020-04-03,1606,38,4858979
"Alabama",2020-04-04,1727,44,4858979
"Alabama",2020-04-05,1905,45,4858979
"Alabama",2020-04-06,2079,49,4858979
"Alabama",2020-04-07,2308,64,4858979
"Alabama",2020-04-08,2614,66,4858979
"Alabama",2020-04-09,2954,70,4858979
"Alabama",2020-04-10,3112,80,4858979
"Alabama",2020-04-11,3346,92,4858979
"Alabama",2020-04-12,3667,93,4858979
"Alabama",2020-04-13,3870,99,4858979
"Alabama",2020-04-14,4041,114,4858979
"Alabama",2020-04-15,4307,118,4858979
